Source sentence,Answer sentence,event1,event2,label
" causal </s></s> unrelated </s></s> The Saudis even have in their possession 48 Kuwaiti jet fighters , virtually the entire Kuwaiti air force , which managed to escape the Iraqi invasion , Saudi officials said . The second possibility would be to start a fight with Israel , in hopes that all Arabs would have to move behind Iraq in a fight against their common Israeli enemy . ",managed has no relation to start ,managed ,start ,NONE
" causal </s></s> unrelated </s></s> In a statement , the White House said it would do "" whatever is necessary "" to ensure compliance with the sanctions . The official adds , though , that "" at the same time , we think he is someone who is capable of rational judgments when it comes to power . ",compliance has no relation to think ,compliance ,think ,NONE
" causal </s></s> unrelated </s></s> Speaking on the ABC program , Abdul Amir al-Anbari , Iraq 's ambassador to the U.N., asserted that an embargo on Iraq could plunge the U.S. into a "" depression "" and the rest of the world into an economic "" crisis . "" In a statement , the White House said it would do "" whatever is necessary "" to ensure compliance with the sanctions . ",embargo has no relation to compliance ,embargo ,compliance ,NONE
" causal </s></s> unrelated </s></s> At that point , rather than go through the humiliation of backing out of Kuwait , the Iraqis might well conclude that they need to lash out in some way to shake things up . There are disagreements among experts about how much pressure will be needed to make Saddam Hussein decide he 's up against the wall and whether simple economic pressure will ever be enough . ",need has no relation to decide ,need ,decide ,NONE
" causal </s></s> unrelated </s></s> The Saudis even have in their possession 48 Kuwaiti jet fighters , virtually the entire Kuwaiti air force , which managed to escape the Iraqi invasion , Saudi officials said . Iraq clearly is trying to woo back more Arab support in case the conflict drags on , hoping that its neighbors eventually will help it survive a prolonged war of economic attrition with the West . ",invasion has no relation to woo ,invasion ,woo ,NONE
" causal </s></s> unrelated </s></s> Mr. Baker declined to use the word blockade , but said that "" interdiction "" of Iraqi shipments would begin "" almost instantly . "" At that point , rather than go through the humiliation of backing out of Kuwait , the Iraqis might well conclude that they need to lash out in some way to shake things up . ",begin has no relation to lash ,begin ,lash ,NONE
" causal </s></s> unrelated </s></s> Other Bush administration officials said that the international naval force in the area -- consisting of American , British , French , Canadian , Soviet , German and Australian ships -- may be used both to stop oil exports from leaving Iraq and Kuwait and to stop shipments of food and other goods from going in. American strategists are calculating , though , that the trade sanctions -- enforced by an effective though perhaps undeclared naval blockade -- will hold tightly enough to convince Iraq that it will lose in the long run by simply standing pat . ",going has no relation to sanctions ,going ,sanctions ,NONE
 causal </s></s> unrelated </s></s> Iraq could start hostilities with Israel either through a direct attack or by attacking Jordan . The proposal also called for replacing American and other Western troops in Saudi Arabia with Arab forces . ,start has no relation to called ,start ,called ,NONE
 causal </s></s> unrelated </s></s> So Saddam Hussein on Friday tried to scare other Arab leaders into supporting him by calling on Arabs to rise up in a holy war against leaders who invited American and other Western soldiers into Saudi Arabia to protect the oil-rich kingdom . There are disagreements among experts about how much pressure will be needed to make Saddam Hussein decide he 's up against the wall and whether simple economic pressure will ever be enough . ,tried has no relation to decide ,tried ,decide ,NONE
" causal </s></s> unrelated </s></s> The first would be to launch the much-feared direct invasion of Saudi Arabia , hoping to seize some Saudi oil fields and improve his bargaining position . The unpredictability of Iraq 's leader is a principal reason the U.S. is going to such great lengths to build a mammoth force in and around Saudi Arabia . ",seize has no relation to going ,seize ,going ,NONE
" causal </s></s> unrelated </s></s> The proposal also called for replacing American and other Western troops in Saudi Arabia with Arab forces . He apparently hopes to lure support from Arabs who have spurned him so far by suggesting that Iraq will use its occupation of Kuwait as a lever to solve the Arab world 's most frustrating problem , the 23-year Israeli occupation of land claimed by Palestinians . ",replacing has no relation to support ,replacing ,support ,NONE
" causal </s></s> unrelated </s></s> In the first days after President Bush announced the dispatching of U.S. troops , they note , the Iraqi leader made several nationwide addresses indirectly -- having them read by a television announcer . Three other carriers and their escort vessels already are stationed within striking distance of Iraq or are steaming toward the area . ",dispatching has no relation to stationed ,dispatching ,stationed ,NONE
" causal </s></s> unrelated </s></s> Even as Saddam Hussein was searching for a ploy to ease his isolation , though , the international pressure against him clicked up another notch . The White House yesterday disclosed that Kuwait 's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq , allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods . ",ease has no relation to disclosed ,ease ,disclosed ,NONE
" causal </s></s> unrelated </s></s> The approval , which had been expected , permits West Germany 's second-largest bank to acquire shares of the French investment bank . ",approval is the cause of acquire ,approval ,acquire ,Cause-Effect
" causal </s></s> unrelated </s></s> The approval , which had been expected , permits West Germany 's second-largest bank to acquire shares of the French investment bank . Dresdner Bank said it will also buy all shares tendered by shareholders on the Paris Stock Exchange at the same price from today through Nov . 17 . ",permits has no relation to buy ,permits ,buy ,NONE
" causal </s></s> unrelated </s></s> Now , following asset sales that shrank revenue by more than one-third this year alone , Control Data is flush with cash . So its senior executives are talking openly about possibly buying back some of the company 's $ 172.5 million in subordinated convertible debentures next year . ",flush is the cause of talking ,flush ,talking ,Cause-Effect
" causal </s></s> unrelated </s></s> Noting that the company is offering to buy back $ 154.2 million in senior notes paying 12 3/4 % , he said the response will help determine future debt-reduction efforts . ",response is the cause of determine ,response ,determine ,Cause-Effect
 causal </s></s> unrelated </s></s> The offer was automatically triggered by the recent sale of Control Data 's Imprimis disk-drive business to Seagate Technology Inc. ,sale is the cause of triggered ,sale ,triggered ,Cause-Effect
" causal </s></s> unrelated </s></s> Through the first nine months , the company had a loss of $ 484 million , largely reflecting the closing of its supercomputer unit . ",had is the cause of closing ,had ,closing ,Cause-Effect
" causal </s></s> unrelated </s></s> Control Data 's semiconductor business , VTC Inc., continues to lose money , the executives acknowledged , but they said they consider some of the technology vital to national defense and so are reluctant to dispose of it . ",consider is the cause of reluctant ,consider ,reluctant ,Cause-Effect
" causal </s></s> unrelated </s></s> Reviewing the company 's scrape with disaster , Mr. Price conceded it had tried to do too much on its own . Asked how the company hopes to expand its computer hardware business , Mr. Ousley said it sees good opportunities in systems integration . ",Reviewing has no relation to hopes ,Reviewing ,hopes ,NONE
" causal </s></s> unrelated </s></s> The offer was automatically triggered by the recent sale of Control Data 's Imprimis disk-drive business to Seagate Technology Inc. "" I 'm not saying everything is hunky-dory , but we have completed the transition , "" Robert M. Price , chairman and chief executive , said in an interview . ",offer has no relation to transition ,offer ,transition ,NONE
" causal </s></s> unrelated </s></s> He said the company has no intention of tapping its short-term bank lines "" for a good part of 1990 . "" "" We 'd like to continue to reduce debt , "" President Lawrence Perlman said . ",has has no relation to like ,has ,like ,NONE
" causal </s></s> unrelated </s></s> Mr. Perlman , who is also acting chief financial officer and the odds-on favorite to become the next chief executive , said the company is achieving "" modest positive cash flow from operations , and we expect that to continue into 1990 . "" "" We think we 're getting only 10 % of the integration dollars our customers are spending , "" he said . ",achieving has no relation to think ,achieving ,think ,NONE
" causal </s></s> unrelated </s></s> Control Data recently announced an agreement with MIPS Computer Systems Inc. to jointly develop machines with simplified operating software . "" We 've been listed as a candidate for so long it 's not worth worrying about , "" said Mr. Price . ",announced has no relation to listed ,announced ,listed ,NONE
" causal </s></s> unrelated </s></s> Monarchists hope to defeat the republic at the referendum . The model for a republic , adopted over bitter objections from those advocating direct election of a president , is for presidential nominations to be made with public input and the winning candidate decided by a two-thirds majority of Parliament . ",hope has no relation to advocating ,hope ,advocating ,NONE
" causal </s></s> unrelated </s></s> In the fiscal year ended Jan . 31 , the company reported sales of $ 59.5 million and pretax profit of $ 2.9 million . They said they expect the transaction to be completed by Dec . 15 . ",profit has no relation to expect ,profit ,expect ,NONE
 causal </s></s> unrelated </s></s> Mr. Potach says the growth is surprising since membership in hate groups usually declines during periods of economic prosperity . ,declines is the cause of surprising ,declines ,surprising ,Cause-Effect
" causal </s></s> unrelated </s></s> Mr. Potach notes older , more traditional groups like the Ku Klux Klan are also opening new chapters , thanks in part to their ability to use new technologies like the Internet . ",ability is the cause of opening ,ability ,opening ,Cause-Effect
 causal </s></s> unrelated </s></s> Law enforcement authorities say such reports are likely to increase as police departments are now beginning to more accurately report hate crimes than they have in the past . ,beginning is the cause of increase ,beginning ,increase ,Cause-Effect
 causal </s></s> unrelated </s></s> Mark Potach says over four hundred hate groups have been identified and many are becoming increasingly successful at recruiting younger members through the use of Internet web pages and the promotion of racist rock music . A new report says there has been a dramatic rise in the growth of hate groups in the United States over the past year . ,becoming has no relation to says ,becoming ,says ,NONE
" causal </s></s> unrelated </s></s> The Internet has certainly helped uh hate mongers to organize and uh to feel that they are part of a larger community , even if uh they are essentially uh , you know , angry people sitting in their bedrooms uh all alone . Mr. Potach notes older , more traditional groups like the Ku Klux Klan are also opening new chapters , thanks in part to their ability to use new technologies like the Internet . ",helped has no relation to ability ,helped ,ability ,NONE
" causal </s></s> unrelated </s></s> We in fact have seen hate group numbers dropping through the nineties , uh but this year they jumped up uh twenty percent , quite a dramatic rise . The Internet has certainly helped uh hate mongers to organize and uh to feel that they are part of a larger community , even if uh they are essentially uh , you know , angry people sitting in their bedrooms uh all alone . ",dropping has no relation to helped ,dropping ,helped ,NONE
" causal </s></s> unrelated </s></s> The loan may be extended by the McAlpine group for an additional year with an increase in the conversion price to $ 2.50 a share . The sale of shares to the McAlpine family along with the recent sale of 750,000 shares of Meridian stock to Haden MacLellan Holding PLC of Surrey , England and a recent public offering have increased Meridian 's net worth to $ 8.5 million , said William Feniger , chief executive officer of Toledo , Ohio-based Meridian . ",increase has no relation to sale ,increase ,sale ,NONE
" causal </s></s> unrelated </s></s> Newsprint results continued to be depressed , the company added , because of industrywide price discounting . ",discounting is the cause of continued ,discounting ,continued ,Cause-Effect
" causal </s></s> unrelated </s></s> The quarter-to-quarter comparison was also enhanced by charges taken in the year-earlier period , including $ 11 million related to the modernization of a pulp and newsprint mill in Alabama . ",charges is the cause of enhanced ,charges ,enhanced ,Cause-Effect
" causal </s></s> unrelated </s></s> Despite continuing problems in its newsprint business , Kimberly - Clark Corp. posted a 20 % gain in third-quarter net income . Those gains came from higher prices , particularly for disposable diapers and tissue products , and from increased sales , primarily for feminine-care products , the company said . ",posted has no relation to sales ,posted ,sales ,NONE
" causal </s></s> unrelated </s></s> Sales rose 6.7 % to $ 4.27 billion from $ 4 billion . After a flat second quarter tied largely to lower newsprint earnings , Kimberly - Clark attributed the gain to improved results in its consumer businesses in North America , Brazil and Korea . ",rose has no relation to results ,rose ,results ,NONE
" causal </s></s> unrelated </s></s> National Intergroup Inc. said it expects to report a charge of $ 5.3 million related to the sale of its aluminum unit 's extrusion division for the third quarter . In fiscal 1989 , it had sales of about $ 40 million and an operating loss of $ 1.5 million . ",charge has no relation to loss ,charge ,loss ,NONE
 causal </s></s> unrelated </s></s> This is clearly an opportunity for Cuba to look good internationally . Fidel Castro invited John Paul to come for a reason . ,is is the cause of invited ,is ,invited ,Cause-Effect
" causal </s></s> unrelated </s></s> One of the scenarios widely advanced before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world . That will , in turn , bring pressure on Washington to change . ",relationship is the cause of change ,relationship ,change ,Cause-Effect
 causal </s></s> unrelated </s></s> The main negative is the risk that the Pope 's visit will persuade a great many more Cubans to break loose of the Cuban government . ,visit is the cause of break ,visit ,break ,Cause-Effect
" causal </s></s> unrelated </s></s> If so , then the Pope 's visit would really open up a new chapter in the government 's relations with its own society . ",visit is the cause of chapter ,visit ,chapter ,Cause-Effect
 causal </s></s> unrelated </s></s> It is the US economic and political embargo which has kept Cuba in a box . ,kept has no relation to embargo ,kept ,embargo ,NONE
" causal </s></s> unrelated </s></s> This is clearly an opportunity for Cuba to look good internationally . One of the scenarios widely advanced before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world . ",is has no relation to begin ,is ,begin ,NONE
" causal </s></s> unrelated </s></s> Those observers looking for a battle between uncompromising representatives and very different ideologies will , in all likelihood , be disappointed . One of the scenarios widely advanced before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world . ",battle has no relation to begin ,battle ,begin ,NONE
 causal </s></s> unrelated </s></s> Fidel Castro invited John Paul to come for a reason . ,come has no relation to invited ,come ,invited ,NONE
 causal </s></s> unrelated </s></s> Tony Lama Co. said that Equus Investment II Limited Partnership has proposed changing the offer for the company to $ 13.65 in cash and stock from an all-cash transaction . ,transaction has no relation to said ,transaction ,said ,NONE
" causal </s></s> unrelated </s></s> One of President Bush 's sons has informed White House Chief of Staff John Sununu that he has lost much of his support among Republicans , prompting an intense effort by Sununu to hold on to his job by demonstrating his GOP backing , White House and Republican sources said Monday . ",lost is the cause of hold ,lost ,hold ,Cause-Effect
" causal </s></s> unrelated </s></s> The source said the younger Bush "" sketched out for Sununu "" problems the president is encountering because of the chief of staff 's tenure . ",tenure is the cause of sketched ,tenure ,sketched ,Cause-Effect
" causal </s></s> unrelated </s></s> That , the source said , was when Sununu started calling congressional Republicans and asking them to tell Bush that the conservative wing of the party , in particular , would object if he were fired . One GOP source , reporting on a call from the chief of staff to a Republican leader , said Sununu lamented that "" the noose is tightening around my neck , and I need your help . "" ",fired has no relation to lamented ,fired ,lamented ,NONE
" causal </s></s> unrelated </s></s> Sununu was told Wednesday by Bush 's son , George , that he had alienated members of the Cabinet , the White House staff and the Republican political community , creating a situation that puts his effectiveness in significant doubt , the sources said . Another highly placed source said the president 's son met with Sununu last week after holding a series of conversations about the structure of the White House staff and of the campaign with other Bush loyalists and GOP activists . ",said has no relation to met ,said ,met ,NONE
" causal </s></s> unrelated </s></s> The unit , which is the holding company for Esselte 's non-Swedish units , accounted for 58 % of sales and 71 % of operating profit last year . Esselte AB sold the minority stake five years ago in a $ 40 million international share offering . ",accounted has no relation to offering ,accounted ,offering ,NONE
" causal </s></s> unrelated </s></s> Ralston Purina Co. reported a 47 % decline in fourth-quarter earnings , reflecting restructuring costs as well as a more difficult pet food market . ",decline is the cause of costs ,decline ,costs ,Cause-Effect
" causal </s></s> unrelated </s></s> Ralston Purina Co. reported a 47 % decline in fourth-quarter earnings , reflecting restructuring costs as well as a more difficult pet food market . ",market is the cause of decline ,market ,decline ,Cause-Effect
 causal </s></s> unrelated </s></s> Ralston said its Eveready battery unit was hurt by continuing economic problems in South America . ,problems is the cause of hurt ,problems ,hurt ,Cause-Effect
" causal </s></s> unrelated </s></s> The battery plant , which makes rechargeable nickel cadmium and carbon zinc products , will be closed over the next year or so , a spokesman said . Ralston Purina Co. reported a 47 % decline in fourth-quarter earnings , reflecting restructuring costs as well as a more difficult pet food market . ",makes has no relation to reported ,makes ,reported ,NONE
" causal </s></s> unrelated </s></s> The St. Louis company earned $ 45.2 million , or 65 cents a share , compared with $ 84.9 million , or $ 1.24 a share , a year earlier . This year 's results included a gain of $ 70.2 million on the disposal of seafood operations . ",earned has no relation to gain ,earned ,gain ,NONE
" causal </s></s> unrelated </s></s> Sales in the latest period were $ 1.76 billion , a 13 % increase from last year 's $ 1.55 billion . The battery plant , which makes rechargeable nickel cadmium and carbon zinc products , will be closed over the next year or so , a spokesman said . ",increase has no relation to closed ,increase ,closed ,NONE
" causal </s></s> unrelated </s></s> Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners , alleging that the hostile offer violates a standstill agreement between the two concerns . ",filed is the cause of offer ,filed ,offer ,Cause-Effect
" causal </s></s> unrelated </s></s> Earlier this year , Dataproducts had rejected a $ 15 a share offer from DPC , saying it was n't adequately financed . DPC , an investor group led by New York-based Crescott Investment Associates , had itself filed a suit in state court in Los Angeles seeking to nullify the agreement . ",financed has no relation to nullify ,financed ,nullify ,NONE
" causal </s></s> unrelated </s></s> The Finnish government and major creditors of bankrupt shipyard Waertsilae Marine Industries Oy agreed in principle to form a new company to complete most of the troubled shipyard 's backlog of 15 ships . Customers holding contracts for Waertsilae Marine 's undelivered ships are expected to subscribe most of the remaining 170 million markkaa in share capital , government officials said . ",complete has no relation to expected ,complete ,expected ,NONE
" causal </s></s> unrelated </s></s> Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses . ",declines is the cause of hurt ,declines ,hurt ,Cause-Effect
" causal </s></s> unrelated </s></s> James Fallon , a New Providence , N.J., marketing consultant to the chemicals industry , says Du Pont still holds an edge in making the pigment because the company was "" first in with the technology "" to lower costs . ",was is the cause of holds ,was ,holds ,Cause-Effect
" causal </s></s> unrelated </s></s> Profit climbed to $ 98 million from $ 71 million in the petroleum segment , as Du Pont 's Conoco Inc. oil company was helped by crude oil prices higher than a year ago and by higher natural gas prices and volume . ",helped is the cause of climbed ,helped ,climbed ,Cause-Effect
" causal </s></s> unrelated </s></s> A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter . ",delayed is the cause of increasing ,delayed ,increasing ,Cause-Effect
" causal </s></s> unrelated </s></s> A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter . ",rains is the cause of delayed ,rains ,delayed ,Cause-Effect
" causal </s></s> unrelated </s></s> Profit from coal fell to $ 41 million from $ 58 million , partly because of a miners ' strike . ",strike is the cause of fell ,strike ,fell ,Cause-Effect
" causal </s></s> unrelated </s></s> Du Pont also announced plans for a 3-for-1 stock split , although the initial higher dividend will be paid on pre-split shares . ",plans has no relation to announced ,plans ,announced ,NONE
" causal </s></s> unrelated </s></s> Du Pont 's stock rose $ 2.50 a share to close at $ 117.375 in New York Stock Exchange composite trading yesterday . Profit from coal fell to $ 41 million from $ 58 million , partly because of a miners ' strike . ",close has no relation to strike ,close ,strike ,NONE
" causal </s></s> unrelated </s></s> The profit gain was made despite a weakening in the housing market , for which the company is a supplier , and a strengthening in the dollar , which lowers the value of overseas earnings when they are translated into dollars . The Wilmington , Del . , company reported net of $ 547 million , or $ 2.36 a share , which was in line with Wall Street estimates . ",weakening has no relation to estimates ,weakening ,estimates ,NONE
" causal </s></s> unrelated </s></s> In the fibers segment , profit rose to $ 180 million from $ 155 million , a gain Du Pont attributed to higher demand in the U.S. for most textile products . Leading the gains for Du Pont in the latest quarter was its industrial products segment , where profit soared to $ 155 million from $ 99 million a year earlier . ",rose has no relation to soared ,rose ,soared ,NONE
" causal </s></s> unrelated </s></s> And profit from polymers dropped to $ 107 million from $ 122 million amid what Du Pont called lower demand and selling prices in certain packaging and industrial markets . A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter . ",dropped has no relation to increasing ,dropped ,increasing ,NONE
 causal </s></s> unrelated </s></s> And profit from polymers dropped to $ 107 million from $ 122 million amid what Du Pont called lower demand and selling prices in certain packaging and industrial markets . Two segments posted lower earnings for the quarter . ,dropped has no relation to earnings ,dropped ,earnings ,NONE
" causal </s></s> unrelated </s></s> BUDAPEST , Hungary ( AP ) _ Tired of being sidelined , Hungarian astronaut Bertalan Farkas is leaving for the United States to start a new career , he said Saturday . McBride , 54 , of Lewisburg , West Virginia , was part of a seven-member crew aboard the Orbiter Challenger in October 1984 and later served as assistant administrator for congressional relations for NASA . ",leaving has no relation to part ,leaving ,part ,NONE
 causal </s></s> unrelated </s></s> The plan was filed jointly with unsecured creditors in federal bankruptcy court in New York and must be approved by the court . ,filed is the cause of approved ,filed ,approved ,Cause-Effect
" causal </s></s> unrelated </s></s> But Coleco bounced back with the introduction of the Cabbage Patch dolls , whose sales hit $ 600 million in 1985 . But as the craze died , Coleco failed to come up with another winner and filed for bankruptcy-law protection in July 1988 . ",introduction has no relation to come ,introduction ,come ,NONE
 causal </s></s> unrelated </s></s> Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday . ,extended is the cause of review ,extended ,review ,Cause-Effect
" causal </s></s> unrelated </s></s> Late last week , representatives of Dow Jones and Telerate began negotiations about the terms of the offer , but those talks did n't result in any changes in the offer . ",talks is the cause of changes ,talks ,changes ,Cause-Effect
" causal </s></s> unrelated </s></s> In Delaware Chancery Court litigation , Telerate has criticized Dow Jones for not disclosing that Telerate 's management expects the company 's revenue to increase by 20 % annually , while Dow Jones based its projections of Telerate 's performance on a 12 % revenue growth forecast . In the tender offer supplement , Dow Jones discloses the different growth forecasts but says it views the 20 % growth rate "" as a hoped-for goal "" of Telerate 's management "" and not as a realistic basis on which to project the company 's likely future performance . "" ",criticized has no relation to says ,criticized ,says ,NONE
" causal </s></s> unrelated </s></s> The offer , which Telerate 's two independent directors have rejected as inadequate , previously had been scheduled to expire at midnight Friday . The supplement contains various information that has been filed with the Securities and Exchange Commission since Dow Jones launched the offer on Sept . 26 , but it does n't change the terms and conditions of the offer except to extend its expiration date . ",offer has no relation to change ,offer ,change ,NONE
 causal </s></s> unrelated </s></s> said it raised $ 92 million from an offering of liquid yield option notes . ,offering is the cause of raised ,offering ,raised ,Cause-Effect
" causal </s></s> unrelated </s></s> The gross proceeds from the sale of the notes , which will be due on Nov . 1 , 2004 , will be used to reduce existing debt and for general corporate purposes , the company said . ",sale is the cause of proceeds ,sale ,proceeds ,Cause-Effect
" causal </s></s> unrelated </s></s> The notes will have a principal amount of $ 300 million at maturity . Blockbuster shares closed yesterday at $ 18.75 , down $ 1.125 , in New York Stock Exchange trading . ",have has no relation to closed ,have ,closed ,NONE
" causal </s></s> unrelated </s></s> The gross proceeds from the sale of the notes , which will be due on Nov . 1 , 2004 , will be used to reduce existing debt and for general corporate purposes , the company said . said it raised $ 92 million from an offering of liquid yield option notes . ",said has no relation to offering ,said ,offering ,NONE
" causal </s></s> unrelated </s></s> Kyle Technology Corp. said a Seattle investor has signed a letter of intent to buy the company for about $ 3.1 million , or $ 1.20 a share . The transaction has been approved by Kyle 's board , but requires the approval of the company 's shareholders . ",signed has no relation to requires ,signed ,requires ,NONE
" causal </s></s> unrelated </s></s> Jay Stevens , an analyst with Dean Witter Reynolds , said he expected the Sunnyvale , Calif . , company to earn 35 cents a share for the quarter and said the firm 's weaker profit was partly the result of increased competition from International Business Machines Corp., Amdahl 's principal competitor for mainframe sales . ",competition is the cause of profit ,competition ,profit ,Cause-Effect
" causal </s></s> unrelated </s></s> Jay Stevens , an analyst with Dean Witter Reynolds , said he expected the Sunnyvale , Calif . , company to earn 35 cents a share for the quarter and said the firm 's weaker profit was partly the result of increased competition from International Business Machines Corp., Amdahl 's principal competitor for mainframe sales . ",profit has no relation to said ,profit ,said ,NONE
 causal </s></s> unrelated </s></s> Puerto Rico Police Superintendent Pedro Toledo urged people who might be targeted by kidnappers to be alert . The store owner 's body was found with the arms and head cut off and the parts stuffed in separate garbage bags . ,urged has no relation to found ,urged ,found ,NONE
" causal </s></s> unrelated </s></s> The so-called poison pill took effect Aug . 9 pending ratification by holders . Separately , Dominion Textile posted net income of 4.7 million Canadian dollars ( $ 4 million ) , or 12 Canadian cents a share , for the fiscal-first quarter ended Sept . 30 . ",ratification has no relation to posted ,ratification ,posted ,NONE
" causal </s></s> unrelated </s></s> WASHINGTON _ The economy created jobs at a surprisingly robust pace in January , the government reported on Friday , evidence that America 's economic stamina has withstood any disruptions caused so far by the financial tumult in Asia . ",tumult is the cause of disruptions ,tumult ,disruptions ,Cause-Effect
 causal </s></s> unrelated </s></s> The demand for workers also led employers to raise wages again last month . ,demand is the cause of raise ,demand ,raise ,Cause-Effect
" causal </s></s> unrelated </s></s> And because the Federal Reserve has made clear that it expects the economy to slow in coming months as ripple effects from Asia reach the United States , investors disregarded the large jobs gains , betting that neither a rise in interest rates nor resurgent inflation is looming . ",made is the cause of disregarded ,made ,disregarded ,Cause-Effect
" causal </s></s> unrelated </s></s> And because the Federal Reserve has made clear that it expects the economy to slow in coming months as ripple effects from Asia reach the United States , investors disregarded the large jobs gains , betting that neither a rise in interest rates nor resurgent inflation is looming . ",reach is the cause of slow ,reach ,slow ,Cause-Effect
" causal </s></s> unrelated </s></s> With potential inflation counterbalanced by worries about possible price declines , the Fed and its chairman , Alan Greenspan , have suggested that they intend to keep interest rates unchanged until the economy tilts clearly in one direction or another . ",counterbalanced is the cause of intend ,counterbalanced ,intend ,Cause-Effect
" causal </s></s> unrelated </s></s> His advisers said the results reflected not just from balancing the budget , but also initiatives like improved access to education and training and the opening of foreign markets to trade . ",balancing is the cause of results ,balancing ,results ,Cause-Effect
" causal </s></s> unrelated </s></s> His advisers said the results reflected not just from balancing the budget , but also initiatives like improved access to education and training and the opening of foreign markets to trade . ",initiatives is the cause of results ,initiatives ,results ,Cause-Effect
" causal </s></s> unrelated </s></s> The increase reflected the strength of the housing industry , which has been helped not just by declining interest rates but also by unusually warm weather . ",strength is the cause of increase ,strength ,increase ,Cause-Effect
" causal </s></s> unrelated </s></s> The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar , a situation that is expected to lead to a surge of inexpensive imports into the United States , hurting American competitors . ",situation is the cause of surge ,situation ,surge ,Cause-Effect
 causal </s></s> unrelated </s></s> And the weakness of the Asian economies is also likely to lead to decreased demand for American exports . ,weakness is the cause of demand ,weakness ,demand ,Cause-Effect
" causal </s></s> unrelated </s></s> The job figures for January extended a surge in employment gains that began last fall , just when the labor market had showed signs of cooling . Some of the biggest employment gains came in the construction industry , which added 92,000 jobs in January . ",surge has no relation to came ,surge ,came ,NONE
" causal </s></s> unrelated </s></s> And because the Federal Reserve has made clear that it expects the economy to slow in coming months as ripple effects from Asia reach the United States , investors disregarded the large jobs gains , betting that neither a rise in interest rates nor resurgent inflation is looming . Stocks rose , pushing the Dow Jones industrial average up 72.24 points , to 8,189.49 , leaving the index within 70 points of its record high set on Aug . 6 . ",reach has no relation to leaving ,reach ,leaving ,NONE
" causal </s></s> unrelated </s></s> With growing opportunities for work drawing more people into the labor force , the unemployment rate remained at 4.7 percent last month , just a notch above its quarter-century low . The gain left wages 3.8 percent higher than a year earlier , extending a trend that has given back to workers some of the earning power they lost to inflation in the last decade . ",drawing has no relation to given ,drawing ,given ,NONE
" causal </s></s> unrelated </s></s> The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar , a situation that is expected to lead to a surge of inexpensive imports into the United States , hurting American competitors . The analysis showed unemployment rates dropped steadily with higher levels of education . ",situation has no relation to dropped ,situation ,dropped ,NONE
" causal </s></s> unrelated </s></s> "" Those fumes will exhaust themselves , and the manufacturing sector is going to start getting beat up in the spring . "" The figures showed the unemployment rate for adult men declined to 3.8 percent last month from 4.1 percent in December , the lowest figure for almost two decades . ",beat has no relation to declined ,beat ,declined ,NONE
" causal </s></s> unrelated </s></s> The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar , a situation that is expected to lead to a surge of inexpensive imports into the United States , hurting American competitors . ",expected has no relation to lead ,expected ,lead ,NONE
" causal </s></s> unrelated </s></s> Service industries also showed solid job gains , as did manufacturers , two areas expected to be hardest hit when the effects of the Asian crisis hit the American economy . His advisers said the results reflected not just from balancing the budget , but also initiatives like improved access to education and training and the opening of foreign markets to trade . ",hit has no relation to results ,hit ,results ,NONE
" causal </s></s> unrelated </s></s> With potential inflation counterbalanced by worries about possible price declines , the Fed and its chairman , Alan Greenspan , have suggested that they intend to keep interest rates unchanged until the economy tilts clearly in one direction or another . The surge in jobs reflects a remarkable confluence of positive and self-reinforcing economic forces . ",intend has no relation to reflects ,intend ,reflects ,NONE
" causal </s></s> unrelated </s></s> The likelihood that the federal budget will soon move from deficit into surplus has further improved the outlook . "" Those fumes will exhaust themselves , and the manufacturing sector is going to start getting beat up in the spring . "" ",improved has no relation to start ,improved ,start ,NONE
" causal </s></s> unrelated </s></s> "" Those fumes will exhaust themselves , and the manufacturing sector is going to start getting beat up in the spring . "" The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar , a situation that is expected to lead to a surge of inexpensive imports into the United States , hurting American competitors . ",beat has no relation to harm ,beat ,harm ,NONE
 causal </s></s> unrelated </s></s> The truck maker said the significant drop in net income will result in lower earnings for the fiscal year . ,drop is the cause of earnings ,drop ,earnings ,Cause-Effect
