Source sentence,Answer sentence,event1,event2,label,type
" causal </s></s> unrelated </s></s> Jon Owen , the city's public safety director , said a call came in from the Valley Hotel at 3 : 33 a . m . from someone who saw the vacant building across town on fire . A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",call has no relation to farming ,call ,farming ,NONE,inter
" causal </s></s> unrelated </s></s> Jon Owen , the city's public safety director , said a call came in from the Valley Hotel at 3 : 33 a . m . from someone who saw the vacant building across town on fire . A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",came in has no relation to destroyed ,came in ,destroyed ,NONE,inter
" causal </s></s> unrelated </s></s> A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",fire has no relation to try their hand ,fire ,try their hand ,NONE,intra
" causal </s></s> unrelated </s></s> A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",arrived has no relation to farming ,arrived ,farming ,NONE,intra
" causal </s></s> unrelated </s></s> A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",arrived has no relation to built ,arrived ,built ,NONE,intra
" causal </s></s> unrelated </s></s> Jon Owen , the city's public safety director , said a call came in from the Valley Hotel at 3 : 33 a . m . from someone who saw the vacant building across town on fire . ",call has no relation to said ,call ,said ,NONE,intra
" causal </s></s> unrelated </s></s> A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . Jon Owen , the city's public safety director , said a call came in from the Valley Hotel at 3 : 33 a . m . from someone who saw the vacant building across town on fire . ",built has no relation to call ,built ,call ,NONE,inter
" causal </s></s> unrelated </s></s> Jon Owen , the city's public safety director , said a call came in from the Valley Hotel at 3 : 33 a . m . from someone who saw the vacant building across town on fire . A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",came in has no relation to try their hand ,came in ,try their hand ,NONE,inter
" causal </s></s> unrelated </s></s> Jon Owen , the city's public safety director , said a call came in from the Valley Hotel at 3 : 33 a . m . from someone who saw the vacant building across town on fire . A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",said has no relation to arrived ,said ,arrived ,NONE,inter
" causal </s></s> unrelated </s></s> A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . Jon Owen , the city's public safety director , said a call came in from the Valley Hotel at 3 : 33 a . m . from someone who saw the vacant building across town on fire . ",built has no relation to came in ,built ,came in ,NONE,inter
" causal </s></s> unrelated </s></s> Historic dairy building destroyed by fire A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska . ",fire has no relation to fire ,fire ,fire ,NONE,inter
 causal </s></s> unrelated </s></s> Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ,Arson is the cause of fire ,Arson ,fire ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> Arson suspected in fire that destroyed Alaska's Mat - Maid dairy It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . ,fire is the cause of in flames ,fire ,in flames ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Arson suspected in fire that destroyed Alaska's Mat - Maid dairy Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",fire is the cause of burned ,fire ,burned ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ,fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ,in flames has no relation to destroyed ,in flames ,destroyed ,NONE,inter
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ",moved to has no relation to Arson ,moved to ,Arson ,NONE,inter
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ",run has no relation to fire ,run ,fire ,NONE,inter
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",run has no relation to burned ,run ,burned ,NONE,intra
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ",dissolve has no relation to suspected ,dissolve ,suspected ,NONE,inter
 causal </s></s> unrelated </s></s> It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . ,in flames has no relation to walked out ,in flames ,walked out ,NONE,intra
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . ",burned has no relation to spied ,burned ,spied ,NONE,inter
 causal </s></s> unrelated </s></s> It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . ,spied has no relation to walked out ,spied ,walked out ,NONE,intra
" causal </s></s> unrelated </s></s> It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",walked out has no relation to run ,walked out ,run ,NONE,inter
" causal </s></s> unrelated </s></s> It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",in flames has no relation to dissolve ,in flames ,dissolve ,NONE,inter
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",dissolve has no relation to moved to ,dissolve ,moved to ,NONE,intra
" causal </s></s> unrelated </s></s> Arson suspected in fire that destroyed Alaska's Mat - Maid dairy Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",suspected has no relation to run ,suspected ,run ,NONE,inter
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ",housed has no relation to destroyed ,housed ,destroyed ,NONE,inter
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",burned has no relation to dissolve ,burned ,dissolve ,NONE,intra
" causal </s></s> unrelated </s></s> Arson suspected in fire that destroyed Alaska's Mat - Maid dairy Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",suspected has no relation to housed ,suspected ,housed ,NONE,inter
 causal </s></s> unrelated </s></s> Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ,suspected has no relation to fire ,suspected ,fire ,NONE,intra
 causal </s></s> unrelated </s></s> It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . ,walked out has no relation to in flames ,walked out ,in flames ,NONE,intra
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . It was a pretty morning in Palmer when a visitor to the Valley Hotel walked out at 3 : 33 a . m . and spied the deserted building nearby in flames . ",housed has no relation to in flames ,housed ,in flames ,NONE,inter
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . ",housed has no relation to moved to ,housed ,moved to ,NONE,intra
" causal </s></s> unrelated </s></s> Only about a week after Alaska officials formally moved to dissolve the last entity to run the historic Matanuska Maid Creamery , the historic structure which once housed part of that historic business burned to the ground in Palmer . Arson suspected in fire that destroyed Alaska's Mat - Maid dairy ",run has no relation to suspected ,run ,suspected ,NONE,inter
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . Matanuska Maid Building Burns Down ",blaze is the cause of Burns Down ,blaze ,Burns Down ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . ",blaze is the cause of demolished ,blaze ,demolished ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . ",demolished is the cause of lost ,demolished ,lost ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . ",blaze is the cause of lost ,blaze ,lost ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . Matanuska Maid Building Burns Down ",lost has no relation to Burns Down ,lost ,Burns Down ,NONE,inter
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . Matanuska Maid Building Burns Down ",lost has no relation to Burns Down ,lost ,Burns Down ,NONE,inter
" causal </s></s> unrelated </s></s> Matanuska Maid Building Burns Down Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . ",Burns Down has no relation to demolished ,Burns Down ,demolished ,NONE,inter
" causal </s></s> unrelated </s></s> Matanuska Maid Building Burns Down Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . ",Burns Down has no relation to demolished ,Burns Down ,demolished ,NONE,inter
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . Matanuska Maid Building Burns Down ",lost has no relation to Burns Down ,lost ,Burns Down ,NONE,inter
" causal </s></s> unrelated </s></s> Matanuska Maid Building Burns Down Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . ",Burns Down has no relation to demolished ,Burns Down ,demolished ,NONE,inter
" causal </s></s> unrelated </s></s> Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer . Matanuska Maid Building Burns Down ",demolished has no relation to Burns Down ,demolished ,Burns Down ,NONE,inter
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",fire is the cause of extinguished ,fire ,extinguished ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . Matanuska Maid Dairy Building Burns Down ",fire is the cause of Burns Down ,fire ,Burns Down ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . Matanuska Maid Dairy Building Burns Down ",fire is the cause of Burns Down ,fire ,Burns Down ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",fire is the cause of extinguished ,fire ,extinguished ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . ",on fire is the cause of call ,on fire ,call ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",attacked is the cause of extinguished ,attacked ,extinguished ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",according to has no relation to fire ,according to ,fire ,NONE,inter
" causal </s></s> unrelated </s></s> Matanuska Maid Dairy Building Burns Down John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . ",Burns Down has no relation to call ,Burns Down ,call ,NONE,inter
" causal </s></s> unrelated </s></s> John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",call has no relation to according to ,call ,according to ,NONE,inter
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . ",extinguished has no relation to call ,extinguished ,call ,NONE,inter
" causal </s></s> unrelated </s></s> John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",on fire has no relation to attacked ,on fire ,attacked ,NONE,inter
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",according to has no relation to fire ,according to ,fire ,NONE,intra
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",attacked has no relation to destroyed ,attacked ,destroyed ,NONE,inter
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",according to has no relation to fire ,according to ,fire ,NONE,intra
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",fire has no relation to according to ,fire ,according to ,NONE,inter
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",fire has no relation to fire ,fire ,fire ,NONE,inter
" causal </s></s> unrelated </s></s> The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",according to has no relation to extinguished ,according to ,extinguished ,NONE,inter
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . ",extinguished has no relation to on fire ,extinguished ,on fire ,NONE,inter
" causal </s></s> unrelated </s></s> John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",call has no relation to attacked ,call ,attacked ,NONE,inter
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",fire has no relation to fire ,fire ,fire ,NONE,inter
" causal </s></s> unrelated </s></s> John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . ",on fire has no relation to extinguished ,on fire ,extinguished ,NONE,inter
" causal </s></s> unrelated </s></s> The fire was extinguished by 7 a . m . , after fire crews attacked it from all sides . The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",extinguished has no relation to destroyed ,extinguished ,destroyed ,NONE,inter
" causal </s></s> unrelated </s></s> John Owen , the city's public safety director , says dispatchers got a call shortly after 3 : 30 a . m . Tuesday that the vacated building was on fire . The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials . ",on fire has no relation to according to ,on fire ,according to ,NONE,inter
 causal </s></s> unrelated </s></s> The cause of the fire has not been determined . The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,fire is the cause of took ,fire ,took ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,fire is the cause of took ,fire ,took ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> The cause of the fire has not been determined . The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,cause is the cause of fire ,cause ,fire ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> The cause of the fire has not been determined . ,cause is the cause of fire ,cause ,fire ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> The cause of the fire has not been determined . The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . Matanuska Maid Dairy Building Was Uninsured ,destroyed has no relation to Uninsured ,destroyed ,Uninsured ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . The cause of the fire has not been determined . ,history has no relation to fire ,history ,fire ,NONE,inter
 causal </s></s> unrelated </s></s> The cause of the fire has not been determined . The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,determined has no relation to history ,determined ,history ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . The cause of the fire has not been determined . ,fire has no relation to determined ,fire ,determined ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,history has no relation to took ,history ,took ,NONE,intra
 causal </s></s> unrelated </s></s> The cause of the fire has not been determined . ,determined has no relation to fire ,determined ,fire ,NONE,intra
 causal </s></s> unrelated </s></s> The cause of the fire has not been determined . The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,fire has no relation to fire ,fire ,fire ,NONE,inter
 causal </s></s> unrelated </s></s> Matanuska Maid Dairy Building Was Uninsured The cause of the fire has not been determined . ,Uninsured has no relation to cause ,Uninsured ,cause ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,took has no relation to destroyed ,took ,destroyed ,NONE,intra
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . Matanuska Maid Dairy Building Was Uninsured ,history has no relation to Uninsured ,history ,Uninsured ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . Matanuska Maid Dairy Building Was Uninsured ,fire has no relation to Uninsured ,fire ,Uninsured ,NONE,inter
 causal </s></s> unrelated </s></s> Matanuska Maid Dairy Building Was Uninsured The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,Uninsured has no relation to fire ,Uninsured ,fire ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . Matanuska Maid Dairy Building Was Uninsured ,took has no relation to Uninsured ,took ,Uninsured ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . The cause of the fire has not been determined . ,fire has no relation to fire ,fire ,fire ,NONE,inter
 causal </s></s> unrelated </s></s> The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . Matanuska Maid Dairy Building Was Uninsured ,fire has no relation to Uninsured ,fire ,Uninsured ,NONE,inter
 causal </s></s> unrelated </s></s> Matanuska Maid Dairy Building Was Uninsured The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,Uninsured has no relation to history ,Uninsured ,history ,NONE,inter
 causal </s></s> unrelated </s></s> Matanuska Maid Dairy Building Was Uninsured The fire that destroyed the original Matanuska Maid Dairy warehouse in Palmer on Tuesday took a piece of Alaska ’ s history . ,Uninsured has no relation to took ,Uninsured ,took ,NONE,inter
 causal </s></s> unrelated </s></s> The fire has destroyed a large section of the store and fire crews and investigators are still on the scene . FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,fire is the cause of called in ,fire ,called in ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,fire is the cause of called in ,fire ,called in ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Major fire at supermarket By 6 . 30am the fire had been contained using water and foam and police had been called . ,fire is the cause of called ,fire ,called ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> The fire has destroyed a large section of the store and fire crews and investigators are still on the scene . By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . ,fire is the cause of investigation ,fire ,investigation ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> By 6 . 30am the fire had been contained using water and foam and police had been called . FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,fire is the cause of called in ,fire ,called in ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . The fire has destroyed a large section of the store and fire crews and investigators are still on the scene . ,fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . ,fire is the cause of investigation ,fire ,investigation ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . ,identify is the cause of investigation ,identify ,investigation ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,blaze is the cause of fight ,blaze ,fight ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> By 6 . 30am the fire had been contained using water and foam and police had been called . By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . ,fire is the cause of investigation ,fire ,investigation ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,fire is the cause of fight ,fire ,fight ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Major fire at supermarket FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,fire is the cause of called in ,fire ,called in ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Major fire at supermarket The fire has destroyed a large section of the store and fire crews and investigators are still on the scene . ,fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Major fire at supermarket By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . ,fire is the cause of investigation ,fire ,investigation ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . By 6 . 30am the fire had been contained using water and foam and police had been called . ,blaze is the cause of called ,blaze ,called ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . ,cause is the cause of investigation ,cause ,investigation ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> The fire has destroyed a large section of the store and fire crews and investigators are still on the scene . ,fire is the cause of destroyed ,fire ,destroyed ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> By 6 . 30am the fire had been contained using water and foam and police had been called . FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,called is the cause of fight ,called ,fight ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> By 6 . 30am the fire had been contained using water and foam and police had been called . ,fire is the cause of called ,fire ,called ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,called in is the cause of fight ,called in ,fight ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . The fire has destroyed a large section of the store and fire crews and investigators are still on the scene . ,fight is the cause of fire ,fight ,fire ,Cause-Effect,inter
